"downloaded","language","form","dataset_name","child_id","age","comprehension","production","is_norming","birth_order","caregiver_education","ethnicity","race","sex","birth_weight","born_early_or_late","gestational_age","zygosity","language_exposures","health_conditions","monolingual","typically_developing"
2023-09-18,"Danish","WS","Bleses",9109,27,458,458,TRUE,"Second","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9110,27,487,487,TRUE,"First","College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9111,26,184,184,TRUE,"Third","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9112,26,492,492,TRUE,"First","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9113,26,572,572,TRUE,"First","Primary",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9114,26,396,396,TRUE,"First","College",NA,NA,"Female",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9115,26,342,342,TRUE,"Second","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9116,26,152,152,TRUE,"First","Graduate",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9117,25,333,333,TRUE,"Second","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9118,25,57,57,TRUE,"First","Primary",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9119,24,35,35,TRUE,"Second","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9120,24,279,279,TRUE,"Third","Primary",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9121,24,139,139,TRUE,"Second","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9122,24,217,217,TRUE,"First","Graduate",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9123,24,133,133,TRUE,"First","Primary",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9124,23,444,444,TRUE,"Second","Primary",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9125,24,240,240,TRUE,"First","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9126,22,37,37,TRUE,"First","College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
2023-09-18,"Danish","WS","Bleses",9127,22,304,304,TRUE,"Third","Some College",NA,NA,"Male",NA,NA,NA,NA,NA,"",TRUE,TRUE
