"","item_definition","Age_Months","Percentage_Knowing"
"580","turtle","25",0.68
"581","turtle","26",0.68
"582","turtle","27",0.68
"583","turtle","28",0.84
"584","turtle","29",0.8
"585","turtle","30",0.82
"586","wolf","16",0.02
"587","wolf","17",0.04
"588","wolf","18",0.04
"589","wolf","19",0.08
"590","wolf","20",0.09
"591","wolf","21",0.1
"592","wolf","22",0.13
"593","wolf","23",0.2
"594","wolf","24",0.23
"595","wolf","25",0.29
"596","wolf","26",0.32
"597","wolf","27",0.34
"598","wolf","28",0.54
"599","wolf","29",0.44
"600","wolf","30",0.49
"601","zebra","16",0.04
"602","zebra","17",0.08
"603","zebra","18",0.1
"604","zebra","19",0.17
"605","zebra","20",0.2
"606","zebra","21",0.21
"607","zebra","22",0.29
"608","zebra","23",0.38
"609","zebra","24",0.45
"610","zebra","25",0.51
"611","zebra","26",0.53
"612","zebra","27",0.56
"613","zebra","28",0.73
"614","zebra","29",0.64
"615","zebra","30",0.7
"616","airplane","16",0.12
"617","airplane","17",0.2
"618","airplane","18",0.3
"619","airplane","19",0.42
"620","airplane","20",0.47
"621","airplane","21",0.52
"622","airplane","22",0.6
"623","airplane","23",0.67
"624","airplane","24",0.73
"625","airplane","25",0.81
"626","airplane","26",0.82
"627","airplane","27",0.85
"628","airplane","28",0.94
"629","airplane","29",0.88
"630","airplane","30",0.87
"631","bicycle","16",0.1
"632","bicycle","17",0.15
"633","bicycle","18",0.2
"634","bicycle","19",0.32
"635","bicycle","20",0.37
"636","bicycle","21",0.4
"637","bicycle","22",0.52
"638","bicycle","23",0.56
"639","bicycle","24",0.64
"640","bicycle","25",0.72
"641","bicycle","26",0.74
"642","bicycle","27",0.74
"643","bicycle","28",0.89
"644","bicycle","29",0.82
"645","bicycle","30",0.85
"646","boat","16",0.18
"647","boat","17",0.21
"648","boat","18",0.29
"649","boat","19",0.43
"650","boat","20",0.45
"651","boat","21",0.48
"652","boat","22",0.56
"653","boat","23",0.66
"654","boat","24",0.69
"655","boat","25",0.76
"656","boat","26",0.79
"657","boat","27",0.78
"658","boat","28",0.93
"659","boat","29",0.84
"660","boat","30",0.86
"661","bus","16",0.16
"662","bus","17",0.2
"663","bus","18",0.25
"664","bus","19",0.39
"665","bus","20",0.42
"666","bus","21",0.48
"667","bus","22",0.62
"668","bus","23",0.68
"669","bus","24",0.74
"670","bus","25",0.78
"671","bus","26",0.78
"672","bus","27",0.83
"673","bus","28",0.91
"674","bus","29",0.87
"675","bus","30",0.86
"676","car","16",0.35
"677","car","17",0.44
"678","car","18",0.55
"679","car","19",0.68
"680","car","20",0.75
"681","car","21",0.74
"682","car","22",0.77
"683","car","23",0.82
"684","car","24",0.89
"685","car","25",0.91
"686","car","26",0.91
"687","car","27",0.93
"688","car","28",0.97
"689","car","29",0.94
"690","car","30",0.95
"691","firetruck","16",0.03
"692","firetruck","17",0.06
"693","firetruck","18",0.1
"694","firetruck","19",0.15
"695","firetruck","20",0.2
"696","firetruck","21",0.26
"697","firetruck","22",0.36
"698","firetruck","23",0.45
"699","firetruck","24",0.51
"700","firetruck","25",0.61
"701","firetruck","26",0.65
"702","firetruck","27",0.64
"703","firetruck","28",0.82
"704","firetruck","29",0.74
"705","firetruck","30",0.78
"706","helicopter","16",0.02
"707","helicopter","17",0.05
"708","helicopter","18",0.07
"709","helicopter","19",0.14
"710","helicopter","20",0.14
"711","helicopter","21",0.21
"712","helicopter","22",0.29
"713","helicopter","23",0.4
"714","helicopter","24",0.45
"715","helicopter","25",0.53
"716","helicopter","26",0.58
"717","helicopter","27",0.59
"718","helicopter","28",0.77
"719","helicopter","29",0.65
"720","helicopter","30",0.71
