"","item_definition","Age_Months","Percentage_Knowing"
"4417","church","22",0.23
"4418","church","23",0.23
"4419","church","24",0.26
"4420","church","25",0.39
"4421","church","26",0.38
"4422","church","27",0.43
"4423","church","28",0.53
"4424","church","29",0.41
"4425","church","30",0.44
"4426","circus","16",0
"4427","circus","17",0.01
"4428","circus","18",0.02
"4429","circus","19",0.02
"4430","circus","20",0.02
"4431","circus","21",0.02
"4432","circus","22",0.04
"4433","circus","23",0.07
"4434","circus","24",0.08
"4435","circus","25",0.14
"4436","circus","26",0.16
"4437","circus","27",0.19
"4438","circus","28",0.33
"4439","circus","29",0.21
"4440","circus","30",0.28
"4441","country","16",0
"4442","country","17",0.01
"4443","country","18",0.01
"4444","country","19",0.01
"4445","country","20",0.01
"4446","country","21",0.01
"4447","country","22",0.03
"4448","country","23",0.03
"4449","country","24",0.04
"4450","country","25",0.06
"4451","country","26",0.05
"4452","country","27",0.09
"4453","country","28",0.14
"4454","country","29",0.11
"4455","country","30",0.17
"4456","downtown","16",0
"4457","downtown","17",0.01
"4458","downtown","18",0.01
"4459","downtown","19",0.03
"4460","downtown","20",0.02
"4461","downtown","21",0.03
"4462","downtown","22",0.03
"4463","downtown","23",0.06
"4464","downtown","24",0.08
"4465","downtown","25",0.1
"4466","downtown","26",0.11
"4467","downtown","27",0.15
"4468","downtown","28",0.22
"4469","downtown","29",0.2
"4470","downtown","30",0.22
"4471","farm","16",0.01
"4472","farm","17",0.02
"4473","farm","18",0.02
"4474","farm","19",0.08
"4475","farm","20",0.1
"4476","farm","21",0.14
"4477","farm","22",0.15
"4478","farm","23",0.25
"4479","farm","24",0.27
"4480","farm","25",0.34
"4481","farm","26",0.41
"4482","farm","27",0.42
"4483","farm","28",0.57
"4484","farm","29",0.5
"4485","farm","30",0.58
"4486","home","16",0.09
"4487","home","17",0.18
"4488","home","18",0.23
"4489","home","19",0.34
"4490","home","20",0.4
"4491","home","21",0.44
"4492","home","22",0.53
"4493","home","23",0.6
"4494","home","24",0.68
"4495","home","25",0.76
"4496","home","26",0.77
"4497","home","27",0.8
"4498","home","28",0.9
"4499","home","29",0.82
"4500","home","30",0.83
"4501","house","16",0.07
"4502","house","17",0.11
"4503","house","18",0.18
"4504","house","19",0.28
"4505","house","20",0.3
"4506","house","21",0.37
"4507","house","22",0.43
"4508","house","23",0.5
"4509","house","24",0.59
"4510","house","25",0.67
"4511","house","26",0.69
"4512","house","27",0.72
"4513","house","28",0.85
"4514","house","29",0.81
"4515","house","30",0.83
"4516","movie","16",0.02
"4517","movie","17",0.02
"4518","movie","18",0.04
"4519","movie","19",0.08
"4520","movie","20",0.1
"4521","movie","21",0.13
"4522","movie","22",0.16
"4523","movie","23",0.2
"4524","movie","24",0.27
"4525","movie","25",0.32
"4526","movie","26",0.39
"4527","movie","27",0.41
"4528","movie","28",0.59
"4529","movie","29",0.51
"4530","movie","30",0.6
"4531","outside","16",0.19
"4532","outside","17",0.25
"4533","outside","18",0.34
"4534","outside","19",0.46
"4535","outside","20",0.52
"4536","outside","21",0.57
"4537","outside","22",0.61
"4538","outside","23",0.68
"4539","outside","24",0.7
"4540","outside","25",0.77
"4541","outside","26",0.77
"4542","outside","27",0.8
"4543","outside","28",0.91
"4544","outside","29",0.84
"4545","outside","30",0.83
"4546","park","16",0.06
"4547","park","17",0.1
"4548","park","18",0.18
"4549","park","19",0.26
"4550","park","20",0.28
"4551","park","21",0.33
"4552","park","22",0.44
"4553","park","23",0.52
"4554","park","24",0.59
"4555","park","25",0.66
"4556","park","26",0.68
"4557","park","27",0.69
"4558","park","28",0.84
"4559","park","29",0.78
"4560","park","30",0.85
"4561","party","16",0.01
"4562","party","17",0.03
"4563","party","18",0.04
"4564","party","19",0.09
"4565","party","20",0.09
"4566","party","21",0.13
"4567","party","22",0.17
"4568","party","23",0.26
"4569","party","24",0.35
"4570","party","25",0.47
"4571","party","26",0.48
"4572","party","27",0.5
"4573","party","28",0.71
"4574","party","29",0.59
"4575","party","30",0.68
"4576","picnic","16",0
"4577","picnic","17",0.02
"4578","picnic","18",0.03
"4579","picnic","19",0.05
"4580","picnic","20",0.04
"4581","picnic","21",0.06
"4582","picnic","22",0.09
"4583","picnic","23",0.14
"4584","picnic","24",0.19
"4585","picnic","25",0.25
"4586","picnic","26",0.3
"4587","picnic","27",0.34
"4588","picnic","28",0.48
"4589","picnic","29",0.44
"4590","picnic","30",0.48
"4591","playground","16",0.01
"4592","playground","17",0.03
"4593","playground","18",0.05
"4594","playground","19",0.08
"4595","playground","20",0.09
"4596","playground","21",0.13
"4597","playground","22",0.19
"4598","playground","23",0.32
"4599","playground","24",0.31
"4600","playground","25",0.38
"4601","playground","26",0.41
"4602","playground","27",0.47
"4603","playground","28",0.57
"4604","playground","29",0.6
"4605","playground","30",0.65
"4606","school","16",0.03
"4607","school","17",0.09
"4608","school","18",0.12
"4609","school","19",0.19
"4610","school","20",0.26
"4611","school","21",0.29
"4612","school","22",0.36
"4613","school","23",0.41
"4614","school","24",0.5
"4615","school","25",0.62
"4616","school","26",0.63
"4617","school","27",0.68
"4618","school","28",0.81
"4619","school","29",0.73
"4620","school","30",0.79
"4621","store","16",0.02
"4622","store","17",0.05
"4623","store","18",0.09
"4624","store","19",0.19
"4625","store","20",0.22
"4626","store","21",0.26
"4627","store","22",0.35
"4628","store","23",0.4
"4629","store","24",0.47
"4630","store","25",0.59
"4631","store","26",0.64
"4632","store","27",0.64
"4633","store","28",0.84
"4634","store","29",0.72
"4635","store","30",0.73
"4636","woods","16",0
"4637","woods","17",0.02
"4638","woods","18",0.01
"4639","woods","19",0.03
"4640","woods","20",0.02
"4641","woods","21",0.04
"4642","woods","22",0.05
"4643","woods","23",0.08
"4644","woods","24",0.09
"4645","woods","25",0.12
"4646","woods","26",0.14
"4647","woods","27",0.2
"4648","woods","28",0.26
"4649","woods","29",0.23
"4650","woods","30",0.27
"4651","work","16",0.02
"4652","work","17",0.05
"4653","work","18",0.11
"4654","work","19",0.16
"4655","work","20",0.21
"4656","work","21",0.22
"4657","work","22",0.3
"4658","work","23",0.39
"4659","work","24",0.48
"4660","work","25",0.57
"4661","work","26",0.61
"4662","work","27",0.63
"4663","work","28",0.81
"4664","work","29",0.69
"4665","work","30",0.73
"4666","yard","16",0.01
"4667","yard","17",0.03
"4668","yard","18",0.04
"4669","yard","19",0.08
"4670","yard","20",0.09
"4671","yard","21",0.11
"4672","yard","22",0.16
"4673","yard","23",0.19
"4674","yard","24",0.25
"4675","yard","25",0.34
"4676","yard","26",0.38
"4677","yard","27",0.43
"4678","yard","28",0.57
"4679","yard","29",0.48
"4680","yard","30",0.52
"4681","zoo","16",0.02
"4682","zoo","17",0.07
"4683","zoo","18",0.09
"4684","zoo","19",0.13
"4685","zoo","20",0.13
"4686","zoo","21",0.23
"4687","zoo","22",0.26
"4688","zoo","23",0.27
"4689","zoo","24",0.35
"4690","zoo","25",0.44
"4691","zoo","26",0.44
"4692","zoo","27",0.52
"4693","zoo","28",0.68
"4694","zoo","29",0.55
"4695","zoo","30",0.6
"4696","aunt","16",0.06
"4697","aunt","17",0.08
"4698","aunt","18",0.12
"4699","aunt","19",0.17
"4700","aunt","20",0.18
"4701","aunt","21",0.2
"4702","aunt","22",0.28
"4703","aunt","23",0.37
"4704","aunt","24",0.43
"4705","aunt","25",0.47
"4706","aunt","26",0.49
"4707","aunt","27",0.56
"4708","aunt","28",0.7
"4709","aunt","29",0.59
"4710","aunt","30",0.63
"4711","baby","16",0.49
"4712","baby","17",0.58
"4713","baby","18",0.65
"4714","baby","19",0.74
"4715","baby","20",0.74
"4716","baby","21",0.84
"4717","baby","22",0.83
"4718","baby","23",0.83
"4719","baby","24",0.88
"4720","baby","25",0.92
"4721","baby","26",0.89
"4722","baby","27",0.92
"4723","baby","28",0.96
"4724","baby","29",0.95
"4725","baby","30",0.94
"4726","babysitter","16",0
"4727","babysitter","17",0.01
"4728","babysitter","18",0.01
"4729","babysitter","19",0.03
"4730","babysitter","20",0.03
"4731","babysitter","21",0.03
"4732","babysitter","22",0.04
"4733","babysitter","23",0.07
"4734","babysitter","24",0.11
"4735","babysitter","25",0.15
"4736","babysitter","26",0.12
"4737","babysitter","27",0.17
"4738","babysitter","28",0.31
"4739","babysitter","29",0.26
"4740","babysitter","30",0.23
"4741","boy","16",0.06
"4742","boy","17",0.11
"4743","boy","18",0.16
"4744","boy","19",0.26
"4745","boy","20",0.29
"4746","boy","21",0.31
"4747","boy","22",0.37
"4748","boy","23",0.43
"4749","boy","24",0.51
"4750","boy","25",0.58
"4751","boy","26",0.63
"4752","boy","27",0.66
"4753","boy","28",0.83
"4754","boy","29",0.74
"4755","boy","30",0.78
"4756","brother","16",0.07
"4757","brother","17",0.14
"4758","brother","18",0.15
"4759","brother","19",0.17
"4760","brother","20",0.19
"4761","brother","21",0.21
"4762","brother","22",0.28
"4763","brother","23",0.3
"4764","brother","24",0.31
"4765","brother","25",0.39
"4766","brother","26",0.46
"4767","brother","27",0.44
"4768","brother","28",0.58
"4769","brother","29",0.59
"4770","brother","30",0.59
"4771","child","16",0.01
"4772","child","17",0.03
"4773","child","18",0.03
"4774","child","19",0.04
"4775","child","20",0.05
"4776","child","21",0.07
"4777","child","22",0.08
"4778","child","23",0.12
"4779","child","24",0.16
"4780","child","25",0.16
"4781","child","26",0.18
"4782","child","27",0.26
"4783","child","28",0.33
"4784","child","29",0.33
"4785","child","30",0.38
"4786","clown","16",0.01
"4787","clown","17",0.04
"4788","clown","18",0.06
"4789","clown","19",0.08
"4790","clown","20",0.1
"4791","clown","21",0.13
"4792","clown","22",0.12
"4793","clown","23",0.14
"4794","clown","24",0.21
"4795","clown","25",0.29
"4796","clown","26",0.3
"4797","clown","27",0.34
"4798","clown","28",0.62
"4799","clown","29",0.35
"4800","clown","30",0.44
"4801","cowboy","16",0
"4802","cowboy","17",0.02
"4803","cowboy","18",0.01
"4804","cowboy","19",0.02
"4805","cowboy","20",0.02
"4806","cowboy","21",0.04
"4807","cowboy","22",0.04
"4808","cowboy","23",0.08
"4809","cowboy","24",0.11
"4810","cowboy","25",0.17
"4811","cowboy","26",0.17
"4812","cowboy","27",0.19
"4813","cowboy","28",0.37
"4814","cowboy","29",0.3
"4815","cowboy","30",0.36
"4816","daddy","16",0.9
"4817","daddy","17",0.89
"4818","daddy","18",0.92
"4819","daddy","19",0.93
"4820","daddy","20",0.93
"4821","daddy","21",0.95
"4822","daddy","22",0.93
"4823","daddy","23",0.94
"4824","daddy","24",0.95
"4825","daddy","25",0.95
"4826","daddy","26",0.96
"4827","daddy","27",0.95
"4828","daddy","28",0.98
"4829","daddy","29",0.95
"4830","daddy","30",0.94
"4831","doctor","16",0.06
"4832","doctor","17",0.04
"4833","doctor","18",0.09
"4834","doctor","19",0.17
"4835","doctor","20",0.2
"4836","doctor","21",0.24
"4837","doctor","22",0.27
"4838","doctor","23",0.33
"4839","doctor","24",0.41
"4840","doctor","25",0.55
"4841","doctor","26",0.55
"4842","doctor","27",0.62
"4843","doctor","28",0.77
"4844","doctor","29",0.71
"4845","doctor","30",0.76
"4846","fireman","16",0
"4847","fireman","17",0.03
"4848","fireman","18",0.02
"4849","fireman","19",0.04
"4850","fireman","20",0.04
"4851","fireman","21",0.09
"4852","fireman","22",0.11
"4853","fireman","23",0.18
"4854","fireman","24",0.24
"4855","fireman","25",0.3
"4856","fireman","26",0.34
"4857","fireman","27",0.42
"4858","fireman","28",0.58
"4859","fireman","29",0.53
"4860","fireman","30",0.57
"4861","friend","16",0.02
"4862","friend","17",0.03
"4863","friend","18",0.04
"4864","friend","19",0.1
"4865","friend","20",0.11
"4866","friend","21",0.15
"4867","friend","22",0.22
"4868","friend","23",0.29
"4869","friend","24",0.34
"4870","friend","25",0.38
"4871","friend","26",0.44
"4872","friend","27",0.47
"4873","friend","28",0.65
"4874","friend","29",0.63
"4875","friend","30",0.69
"4876","girl","16",0.07
"4877","girl","17",0.09
"4878","girl","18",0.12
"4879","girl","19",0.25
"4880","girl","20",0.26
"4881","girl","21",0.3
"4882","girl","22",0.36
"4883","girl","23",0.4
"4884","girl","24",0.46
"4885","girl","25",0.52
"4886","girl","26",0.59
"4887","girl","27",0.6
"4888","girl","28",0.78
"4889","girl","29",0.69
"4890","girl","30",0.73
"4891","grandma","16",0.36
"4892","grandma","17",0.43
"4893","grandma","18",0.53
"4894","grandma","19",0.63
"4895","grandma","20",0.66
"4896","grandma","21",0.71
"4897","grandma","22",0.76
"4898","grandma","23",0.81
"4899","grandma","24",0.83
"4900","grandma","25",0.88
"4901","grandma","26",0.86
"4902","grandma","27",0.88
"4903","grandma","28",0.94
"4904","grandma","29",0.9
"4905","grandma","30",0.87
"4906","grandpa","16",0.32
"4907","grandpa","17",0.38
"4908","grandpa","18",0.46
"4909","grandpa","19",0.56
"4910","grandpa","20",0.59
"4911","grandpa","21",0.62
"4912","grandpa","22",0.7
"4913","grandpa","23",0.76
"4914","grandpa","24",0.76
"4915","grandpa","25",0.82
"4916","grandpa","26",0.84
"4917","grandpa","27",0.83
"4918","grandpa","28",0.91
"4919","grandpa","29",0.86
"4920","grandpa","30",0.84
"4921","lady","16",0.01
"4922","lady","17",0.02
"4923","lady","18",0.04
"4924","lady","19",0.08
"4925","lady","20",0.11
"4926","lady","21",0.12
"4927","lady","22",0.16
"4928","lady","23",0.18
"4929","lady","24",0.25
"4930","lady","25",0.29
"4931","lady","26",0.35
"4932","lady","27",0.39
"4933","lady","28",0.55
"4934","lady","29",0.45
"4935","lady","30",0.48
"4936","mailman","16",0.01
"4937","mailman","17",0.03
"4938","mailman","18",0.03
"4939","mailman","19",0.05
"4940","mailman","20",0.05
"4941","mailman","21",0.1
"4942","mailman","22",0.13
"4943","mailman","23",0.17
"4944","mailman","24",0.18
"4945","mailman","25",0.23
"4946","mailman","26",0.31
"4947","mailman","27",0.36
"4948","mailman","28",0.5
"4949","mailman","29",0.41
"4950","mailman","30",0.45
"4951","man","16",0.03
"4952","man","17",0.06
"4953","man","18",0.07
"4954","man","19",0.15
"4955","man","20",0.16
"4956","man","21",0.2
"4957","man","22",0.27
"4958","man","23",0.3
"4959","man","24",0.37
"4960","man","25",0.44
"4961","man","26",0.47
"4962","man","27",0.51
"4963","man","28",0.7
"4964","man","29",0.59
"4965","man","30",0.63
"4966","mommy","16",0.89
"4967","mommy","17",0.9
"4968","mommy","18",0.93
"4969","mommy","19",0.94
"4970","mommy","20",0.95
"4971","mommy","21",0.95
"4972","mommy","22",0.95
"4973","mommy","23",0.93
"4974","mommy","24",0.96
"4975","mommy","25",0.96
"4976","mommy","26",0.96
"4977","mommy","27",0.97
"4978","mommy","28",0.98
"4979","mommy","29",0.97
"4980","mommy","30",0.95
"4981","nurse","16",0.01
"4982","nurse","17",0.02
"4983","nurse","18",0.02
"4984","nurse","19",0.03
"4985","nurse","20",0.03
"4986","nurse","21",0.05
"4987","nurse","22",0.05
"4988","nurse","23",0.07
"4989","nurse","24",0.08
"4990","nurse","25",0.13
"4991","nurse","26",0.15
"4992","nurse","27",0.17
"4993","nurse","28",0.29
"4994","nurse","29",0.24
"4995","nurse","30",0.28
"4996","people","16",0.03
"4997","people","17",0.04
"4998","people","18",0.06
"4999","people","19",0.12
"5000","people","20",0.1
"5001","people","21",0.13
"5002","people","22",0.19
"5003","people","23",0.28
"5004","people","24",0.31
"5005","people","25",0.34
"5006","people","26",0.39
"5007","people","27",0.45
"5008","people","28",0.61
"5009","people","29",0.53
"5010","people","30",0.61
"5011","person","16",0
"5012","person","17",0.02
"5013","person","18",0.02
"5014","person","19",0.03
"5015","person","20",0.04
"5016","person","21",0.05
"5017","person","22",0.07
"5018","person","23",0.09
"5019","person","24",0.11
"5020","person","25",0.14
"5021","person","26",0.17
"5022","person","27",0.22
"5023","person","28",0.28
"5024","person","29",0.3
"5025","person","30",0.35
"5026","police","16",0
"5027","police","17",0.02
"5028","police","18",0.02
"5029","police","19",0.03
"5030","police","20",0.03
"5031","police","21",0.07
"5032","police","22",0.09
"5033","police","23",0.14
"5034","police","24",0.19
"5035","police","25",0.27
"5036","police","26",0.31
"5037","police","27",0.35
"5038","police","28",0.52
"5039","police","29",0.48
"5040","police","30",0.55
"5041","sister","16",0.11
"5042","sister","17",0.14
"5043","sister","18",0.15
"5044","sister","19",0.17
"5045","sister","20",0.23
"5046","sister","21",0.21
"5047","sister","22",0.31
"5048","sister","23",0.31
"5049","sister","24",0.34
"5050","sister","25",0.39
"5051","sister","26",0.42
"5052","sister","27",0.46
"5053","sister","28",0.56
"5054","sister","29",0.56
"5055","sister","30",0.59
"5056","teacher","16",0.01
"5057","teacher","17",0.03
"5058","teacher","18",0.04
"5059","teacher","19",0.07
"5060","teacher","20",0.09
"5061","teacher","21",0.12
"5062","teacher","22",0.14
"5063","teacher","23",0.2
"5064","teacher","24",0.24
"5065","teacher","25",0.32
"5066","teacher","26",0.34
"5067","teacher","27",0.39
"5068","teacher","28",0.52
"5069","teacher","29",0.54
"5070","teacher","30",0.58
"5071","uncle","16",0.04
"5072","uncle","17",0.05
"5073","uncle","18",0.09
"5074","uncle","19",0.14
"5075","uncle","20",0.16
"5076","uncle","21",0.18
"5077","uncle","22",0.28
"5078","uncle","23",0.34
"5079","uncle","24",0.4
"5080","uncle","25",0.46
"5081","uncle","26",0.48
"5082","uncle","27",0.5
"5083","uncle","28",0.67
"5084","uncle","29",0.59
"5085","uncle","30",0.65
"5086","bath","16",0.32
"5087","bath","17",0.4
"5088","bath","18",0.48
"5089","bath","19",0.6
"5090","bath","20",0.61
"5091","bath","21",0.67
"5092","bath","22",0.73
"5093","bath","23",0.79
"5094","bath","24",0.8
"5095","bath","25",0.85
"5096","bath","26",0.85
"5097","bath","27",0.87
"5098","bath","28",0.95
"5099","bath","29",0.86
"5100","bath","30",0.86
"5101","breakfast","16",0.04
"5102","breakfast","17",0.08
"5103","breakfast","18",0.11
"5104","breakfast","19",0.2
"5105","breakfast","20",0.22
"5106","breakfast","21",0.28
"5107","breakfast","22",0.36
"5108","breakfast","23",0.44
"5109","breakfast","24",0.5
"5110","breakfast","25",0.58
"5111","breakfast","26",0.62
"5112","breakfast","27",0.64
"5113","breakfast","28",0.8
"5114","breakfast","29",0.74
"5115","breakfast","30",0.74
"5116","bye","16",0.65
"5117","bye","17",0.71
"5118","bye","18",0.8
"5119","bye","19",0.86
"5120","bye","20",0.86
"5121","bye","21",0.87
"5122","bye","22",0.9
"5123","bye","23",0.91
"5124","bye","24",0.93
"5125","bye","25",0.95
"5126","bye","26",0.93
"5127","bye","27",0.93
"5128","bye","28",0.97
"5129","bye","29",0.95
"5130","bye","30",0.97
"5131","call","16",0.11
"5132","call","17",0.11
"5133","call","18",0.16
"5134","call","19",0.24
"5135","call","20",0.27
"5136","call","21",0.33
"5137","call","22",0.42
"5138","call","23",0.48
"5139","call","24",0.53
"5140","call","25",0.63
"5141","call","26",0.65
"5142","call","27",0.68
"5143","call","28",0.78
"5144","call","29",0.73
"5145","call","30",0.76
"5146","dinner","16",0.04
"5147","dinner","17",0.06
"5148","dinner","18",0.08
"5149","dinner","19",0.17
"5150","dinner","20",0.2
"5151","dinner","21",0.27
"5152","dinner","22",0.34
"5153","dinner","23",0.43
"5154","dinner","24",0.48
"5155","dinner","25",0.59
"5156","dinner","26",0.6
"5157","dinner","27",0.65
"5158","dinner","28",0.79
"5159","dinner","29",0.72
"5160","dinner","30",0.75
"5161","hello","16",0.43
"5162","hello","17",0.46
"5163","hello","18",0.47
"5164","hello","19",0.52
"5165","hello","20",0.57
"5166","hello","21",0.64
"5167","hello","22",0.66
"5168","hello","23",0.72
"5169","hello","24",0.72
"5170","hello","25",0.73
"5171","hello","26",0.73
"5172","hello","27",0.76
"5173","hello","28",0.81
"5174","hello","29",0.83
"5175","hello","30",0.88
"5176","hi","16",0.52
"5177","hi","17",0.56
"5178","hi","18",0.66
"5179","hi","19",0.75
"5180","hi","20",0.72
"5181","hi","21",0.79
"5182","hi","22",0.8
"5183","hi","23",0.79
"5184","hi","24",0.86
"5185","hi","25",0.91
"5186","hi","26",0.9
"5187","hi","27",0.92
"5188","hi","28",0.96
"5189","hi","29",0.91
"5190","hi","30",0.9
"5191","lunch","16",0.05
"5192","lunch","17",0.06
"5193","lunch","18",0.1
"5194","lunch","19",0.19
"5195","lunch","20",0.2
"5196","lunch","21",0.26
"5197","lunch","22",0.34
"5198","lunch","23",0.41
"5199","lunch","24",0.47
"5200","lunch","25",0.57
"5201","lunch","26",0.63
"5202","lunch","27",0.64
"5203","lunch","28",0.78
"5204","lunch","29",0.73
"5205","lunch","30",0.76
"5206","nap","16",0.08
"5207","nap","17",0.12
"5208","nap","18",0.17
"5209","nap","19",0.28
"5210","nap","20",0.3
"5211","nap","21",0.37
"5212","nap","22",0.46
"5213","nap","23",0.55
"5214","nap","24",0.61
"5215","nap","25",0.71
"5216","nap","26",0.71
"5217","nap","27",0.76
"5218","nap","28",0.88
"5219","nap","29",0.81
"5220","nap","30",0.81
"5221","no","16",0.56
"5222","no","17",0.64
"5223","no","18",0.73
"5224","no","19",0.8
"5225","no","20",0.82
"5226","no","21",0.85
"5227","no","22",0.9
"5228","no","23",0.85
"5229","no","24",0.91
"5230","no","25",0.93
"5231","no","26",0.94
"5232","no","27",0.94
"5233","no","28",0.97
"5234","no","29",0.95
"5235","no","30",0.97
"5236","pattycake","16",0.05
"5237","pattycake","17",0.09
"5238","pattycake","18",0.13
"5239","pattycake","19",0.21
"5240","pattycake","20",0.2
"5241","pattycake","21",0.26
"5242","pattycake","22",0.27
"5243","pattycake","23",0.32
"5244","pattycake","24",0.33
"5245","pattycake","25",0.45
"5246","pattycake","26",0.44
"5247","pattycake","27",0.47
"5248","pattycake","28",0.67
"5249","pattycake","29",0.49
"5250","pattycake","30",0.54
"5251","peekaboo","16",0.26
"5252","peekaboo","17",0.34
"5253","peekaboo","18",0.42
"5254","peekaboo","19",0.51
"5255","peekaboo","20",0.52
"5256","peekaboo","21",0.56
"5257","peekaboo","22",0.61
"5258","peekaboo","23",0.66
"5259","peekaboo","24",0.72
"5260","peekaboo","25",0.78
"5261","peekaboo","26",0.78
"5262","peekaboo","27",0.79
"5263","peekaboo","28",0.9
"5264","peekaboo","29",0.8
"5265","peekaboo","30",0.85
"5266","please","16",0.24
"5267","please","17",0.34
"5268","please","18",0.42
"5269","please","19",0.57
"5270","please","20",0.57
"5271","please","21",0.68
"5272","please","22",0.73
"5273","please","23",0.79
"5274","please","24",0.81
"5275","please","25",0.87
"5276","please","26",0.86
"5277","please","27",0.91
"5278","please","28",0.96
"5279","please","29",0.93
"5280","please","30",0.95
"5281","shh","16",0.29
"5282","shh","17",0.4
"5283","shh","18",0.45
"5284","shh","19",0.56
"5285","shh","20",0.56
"5286","shh","21",0.64
"5287","shh","22",0.68
"5288","shh","23",0.72
"5289","shh","24",0.73
"5290","shh","25",0.84
"5291","shh","26",0.81
"5292","shh","27",0.84
"5293","shh","28",0.91
"5294","shh","29",0.84
"5295","shh","30",0.87
"5296","shopping","16",0.02
"5297","shopping","17",0.03
"5298","shopping","18",0.06
"5299","shopping","19",0.11
"5300","shopping","20",0.12
"5301","shopping","21",0.13
"5302","shopping","22",0.2
"5303","shopping","23",0.29
"5304","shopping","24",0.35
"5305","shopping","25",0.43
"5306","shopping","26",0.47
"5307","shopping","27",0.52
"5308","shopping","28",0.7
"5309","shopping","29",0.6
"5310","shopping","30",0.66
"5311","snack","16",0.11
"5312","snack","17",0.13
"5313","snack","18",0.19
"5314","snack","19",0.26
"5315","snack","20",0.28
"5316","snack","21",0.33
"5317","snack","22",0.45
"5318","snack","23",0.52
"5319","snack","24",0.56
"5320","snack","25",0.62
"5321","snack","26",0.64
"5322","snack","27",0.7
"5323","snack","28",0.78
"5324","snack","29",0.73
"5325","snack","30",0.8
"5326","yes","16",0.31
"5327","yes","17",0.41
"5328","yes","18",0.47
"5329","yes","19",0.6
"5330","yes","20",0.61
"5331","yes","21",0.75
"5332","yes","22",0.79
"5333","yes","23",0.79
"5334","yes","24",0.83
"5335","yes","25",0.9
"5336","yes","26",0.9
"5337","yes","27",0.9
"5338","yes","28",0.95
"5339","yes","29",0.94
"5340","yes","30",0.94
"5341","bite","16",0.14
"5342","bite","17",0.14
"5343","bite","18",0.2
"5344","bite","19",0.33
"5345","bite","20",0.33
"5346","bite","21",0.37
"5347","bite","22",0.48
"5348","bite","23",0.51
"5349","bite","24",0.58
"5350","bite","25",0.69
"5351","bite","26",0.67
"5352","bite","27",0.72
"5353","bite","28",0.88
"5354","bite","29",0.75
"5355","bite","30",0.78
"5356","blow","16",0.06
"5357","blow","17",0.07
"5358","blow","18",0.1
"5359","blow","19",0.21
"5360","blow","20",0.23
"5361","blow","21",0.28
"5362","blow","22",0.32
"5363","blow","23",0.4
"5364","blow","24",0.49
"5365","blow","25",0.61
"5366","blow","26",0.59
"5367","blow","27",0.64
"5368","blow","28",0.82
"5369","blow","29",0.69
"5370","blow","30",0.71
"5371","break","16",0.01
"5372","break","17",0.03
"5373","break","18",0.06
"5374","break","19",0.11
"5375","break","20",0.15
"5376","break","21",0.19
"5377","break","22",0.26
"5378","break","23",0.36
"5379","break","24",0.44
"5380","break","25",0.5
"5381","break","26",0.56
"5382","break","27",0.57
"5383","break","28",0.8
"5384","break","29",0.68
"5385","break","30",0.73
"5386","bring","16",0.02
"5387","bring","17",0.03
"5388","bring","18",0.05
"5389","bring","19",0.09
"5390","bring","20",0.11
"5391","bring","21",0.13
"5392","bring","22",0.18
"5393","bring","23",0.29
"5394","bring","24",0.32
"5395","bring","25",0.41
"5396","bring","26",0.41
"5397","bring","27",0.5
"5398","bring","28",0.65
"5399","bring","29",0.58
"5400","bring","30",0.63
"5401","build","16",0.01
"5402","build","17",0.03
"5403","build","18",0.02
"5404","build","19",0.07
"5405","build","20",0.06
"5406","build","21",0.11
"5407","build","22",0.16
"5408","build","23",0.24
"5409","build","24",0.3
"5410","build","25",0.38
"5411","build","26",0.44
"5412","build","27",0.48
"5413","build","28",0.62
"5414","build","29",0.6
"5415","build","30",0.65
"5416","bump","16",0.03
"5417","bump","17",0.05
"5418","bump","18",0.1
"5419","bump","19",0.15
"5420","bump","20",0.16
"5421","bump","21",0.17
"5422","bump","22",0.24
"5423","bump","23",0.31
"5424","bump","24",0.35
"5425","bump","25",0.41
"5426","bump","26",0.48
"5427","bump","27",0.44
"5428","bump","28",0.67
"5429","bump","29",0.57
"5430","bump","30",0.61
"5431","buy","16",0.01
"5432","buy","17",0.03
"5433","buy","18",0.03
"5434","buy","19",0.06
"5435","buy","20",0.07
"5436","buy","21",0.09
"5437","buy","22",0.12
"5438","buy","23",0.19
"5439","buy","24",0.23
"5440","buy","25",0.29
"5441","buy","26",0.34
"5442","buy","27",0.44
"5443","buy","28",0.59
"5444","buy","29",0.54
"5445","buy","30",0.62
"5446","carry","16",0.02
"5447","carry","17",0.04
"5448","carry","18",0.04
"5449","carry","19",0.11
"5450","carry","20",0.12
"5451","carry","21",0.17
"5452","carry","22",0.26
"5453","carry","23",0.33
"5454","carry","24",0.4
"5455","carry","25",0.51
"5456","carry","26",0.54
"5457","carry","27",0.58
"5458","carry","28",0.72
"5459","carry","29",0.68
"5460","carry","30",0.69
"5461","catch","16",0.02
"5462","catch","17",0.05
"5463","catch","18",0.07
"5464","catch","19",0.11
"5465","catch","20",0.13
"5466","catch","21",0.18
"5467","catch","22",0.24
"5468","catch","23",0.31
"5469","catch","24",0.39
"5470","catch","25",0.5
"5471","catch","26",0.53
"5472","catch","27",0.56
"5473","catch","28",0.75
"5474","catch","29",0.69
"5475","catch","30",0.72
"5476","chase","16",0.02
"5477","chase","17",0.03
"5478","chase","18",0.04
"5479","chase","19",0.09
"5480","chase","20",0.08
